country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Johor,Segamat,50,246279,27220983,111,2417247,1082314,1334934,2557428,1895845,744399,2122705,3833392,2997203,2945056,1040601,3311763,131213,5707548,1942611,1029792,2699078,2327538,3826077,3845887,2352798,2497071,1317272,1742322,1711308,3017783
Malaysia,Johor,Segamat,75,224449,25614845,114,2237445,932870,1304575,2343124,1709165,674922,1963581,3520635,2874689,2828812,998006,3198271,129579,5592636,1882111,979803,2554054,2204964,3535317,3542323,2091568,2190690,1141798,1493055,1465058,2547066
Malaysia,Kedah,Baling,0,153473,17831838,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Baling,10,140497,17809326,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Baling,15,139834,17768188,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Baling,20,139337,17735847,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Baling,25,139071,17719135,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Baling,30,138537,17684765,128,949030,575622,373408,203689,876716,419377,459390,697049,439874,383281,805450,674080,1048662,1224173,1005116,542044,1643420,1517379,2258348,1770859,1714371,1072959,832484,719491,680240,839229
Malaysia,Kedah,Baling,50,135955,17490763,129,939518,553975,385544,200438,872357,415609,456725,692041,437639,381501,801190,672187,1046811,1222402,1002591,536553,1627543,1510524,2244968,1751806,1686970,1051220,815651,702341,665221,814637
Malaysia,Kedah,Baling,75,127344,16730119,131,877900,492400,385501,163652,769102,298273,401339,593823,369153,362677,756258,630197,1017513,1206011,990530,504784,1549332,1462655,2170626,1665764,1583550,972094,750754,640498,604682,728432
