country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Labuan,30,4323,403863,93,20672,27011,-6340,10268,9919,6486,5252,12275,10763,22354,19034,17531,11616,28303,59021,9019,34848,42103,58247,18997,15469,9703,15787,16052,21471,20927
Malaysia,Labuan,50,3926,378890,97,19743,24960,-5217,10184,9578,6259,5252,12036,10580,22155,18687,17392,11418,28057,58483,8673,33057,39269,52248,17620,14149,8540,14896,15265,20339,19950
Malaysia,Labuan,75,3014,310672,103,16622,20357,-3734,9845,8515,5600,4756,11314,9509,20161,17319,15803,10480,26264,54227,7279,27437,32191,37904,13846,11563,4891,10331,11636,15200,16243
Malaysia,Melaka,0,165403,9575243,58,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,10,117339,9527472,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,15,115661,9445345,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,20,114475,9384085,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,25,113794,9349258,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,30,112675,9291768,82,1139800,691561,448240,811255,789327,437991,482314,1543052,803981,1394038,910442,1454480,264426,1269951,1089141,470684,2022184,1104564,2253906,1859828,1765323,1874348,1040255,936179,793615,844125
Malaysia,Melaka,50,106873,8942334,84,1121624,649345,472279,804448,781492,433577,479677,1530886,799867,1386243,904859,1445673,263181,1265729,1080644,460583,1993779,1089926,2208171,1827250,1724874,1827025,1007234,908152,763871,810211
Malaysia,Melaka,75,88815,7609803,86,1007607,523053,484553,740255,707090,385692,448944,1399112,744018,1303181,838799,1357346,253260,1221489,1021497,399208,1820787,1006230,1954290,1617033,1504548,1550767,842662,758704,632446,667597
Malaysia,Negeri Sembilan,0,666738,59420574,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,10,570930,59306691,104,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,15,567096,59110058,104,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,20,564138,58949675,104,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,25,562530,58863446,105,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Negeri Sembilan,30,559821,58715699,105,5263479,2845864,2417616,5616533,6781023,2393844,2946271,4496385,3217686,4770080,4433964,9014417,2497272,7918413,12928097,3241725,7623650,4806519,8127401,7128899,5943532,4590253,3265311,3596835,2665509,3056403
Malaysia,Negeri Sembilan,50,544976,57769100,106,5210317,2737561,2472756,5586799,6743767,2372932,2915527,4458495,3198100,4750397,4423485,8990621,2490873,7907386,12891360,3220636,7542135,4763057,8005973,7018811,5834924,4498062,3167505,3494894,2598809,2962738
Malaysia,Negeri Sembilan,75,487265,53251141,109,4830080,2350431,2479649,5183389,6190912,2087373,2639578,4024971,2981919,4507386,4287349,8722137,2408957,7753728,12617896,3057167,7003668,4461601,7223613,6339473,5226004,3977880,2658524,2948645,2269316,2520355
Malaysia,Pahang,0,3585238,422471528,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,10,3327704,422127448,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,15,3316955,421598747,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,20,3308545,421163557,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,25,3303635,420910143,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pahang,30,3295418,420480303,128,28002322,9642236,18360086,15748789,21785896,9661097,22260246,32086537,24255108,24380489,17787075,29892306,30304025,26883854,48779220,21973516,44629460,32033529,56834452,40920634,31819649,30058984,22750742,23224292,16043542,19939962
Malaysia,Pahang,50,3249607,417750155,129,27841296,9382340,18458956,15653511,21671350,9621372,22175106,31982839,24208675,24336533,17748169,29837662,30261012,26845623,48640902,21845055,44228149,31835314,56340076,40668498,31569319,29787886,22567243,23005933,15886215,19633357
Malaysia,Pahang,75,3063046,404010000,132,26759276,8385389,18373887,14852353,20739563,8998959,21423360,30921126,23710037,23835189,17381237,29291357,29824859,26545322,47661151,21001818,42057379,30503226,53377172,39134086,30124658,28262444,21483540,21466637,14967817,17900067
Malaysia,Perak,0,2091110,207202266,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,10,1795110,206728430,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,15,1785066,206237585,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,20,1778841,205918927,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,25,1774699,205715084,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perak,30,1766056,205281845,116,7200897,5228147,1972750,3276565,4638270,2561883,3753272,6172714,4171597,6762895,5078305,9685553,8598782,9376528,9379779,5558390,12127140,9307610,12200244,10728570,8120613,8012900,6346376,7591656,5331048,6839942
Malaysia,Perak,50,1728918,203247735,118,7139512,5065701,2073811,3250275,4601196,2534785,3726070,6142262,4151423,6739321,5063482,9654559,8581766,9362615,9340378,5513154,12027365,9242617,12053350,10610805,8020169,7905014,6259758,7474953,5244055,6709409
Malaysia,Perak,75,1603872,195468437,122,6833119,4584927,2248192,3063337,4335991,2366448,3525069,5864822,4015891,6518672,4924549,9398763,8424959,9248654,9143352,5304828,11606808,8959858,11456682,10044410,7572762,7418122,5895455,6991659,4876215,6204437
Malaysia,Perlis,0,82349,2952940,36,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,10,29311,2832283,97,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,15,28648,2794018,98,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,20,28308,2774155,98,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,25,28044,2760716,98,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Perlis,30,27367,2719784,99,98894,148532,-49639,115119,58950,19690,36457,75267,29517,34448,31502,94927,63207,26261,39646,59518,180680,124760,238457,176142,108774,123380,157505,96280,133154,250919
Malaysia,Perlis,50,25598,2601968,102,95885,139687,-43803,110084,54798,19188,35374,73062,28341,33847,30296,89837,62669,26030,39175,57658,173804,121480,232790,170869,103798,119420,153243,91530,130729,247325
Malaysia,Perlis,75,19860,2078232,105,74585,115701,-41116,74740,37354,14600,27271,54592,22808,28521,22813,65766,53567,22943,34138,43922,128857,95760,183772,122770,70530,83133,113274,67860,113633,232836
Malaysia,Pulau Pinang,0,105622,4254227,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,10,49792,4155540,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,15,48776,4106379,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,20,48230,4079082,85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,25,47774,4056618,85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pulau Pinang,30,46677,4001163,86,100482,173060,-72578,16764,64132,53996,83580,115781,99618,80739,79222,161240,168425,99946,119478,50178,159668,121078,176249,137913,87206,86739,77767,91090,74285,106001
Malaysia,Pulau Pinang,50,43161,3803492,88,96960,159433,-62472,16103,62286,52258,80222,111894,97109,78457,77476,157770,166105,98777,117056,48212,151824,115263,168733,132371,83293,82117,74008,87076,71240,100445
Malaysia,Pulau Pinang,75,32935,3131770,95,79387,124248,-44860,13315,49190,43048,62341,90586,83826,68041,63560,133861,152105,86270,102133,38890,115001,92084,130828,106890,67059,61865,58231,71028,58032,77722
Malaysia,Putrajaya,0,6173,130052,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,10,1720,127212,74,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,15,1670,124934,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,20,1644,123683,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,25,1618,122523,76,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Putrajaya,30,1583,120859,76,6730,11311,-4580,8491,13525,8777,7151,3738,1481,4488,678,5685,1687,1702,1960,1427,4839,4584,11413,14436,14003,9524,7002,12812,5924,9466
Malaysia,Putrajaya,50,1395,109968,79,6109,10649,-4539,7115,11057,8484,6463,3463,1385,4379,495,5431,1633,1680,1902,1311,3880,3977,10560,13207,12280,8454,6506,12236,5764,8848
Malaysia,Putrajaya,75,925,77700,84,4265,9158,-4893,4608,6514,5832,3219,1888,1175,3556,231,3135,1438,1458,1368,956,2302,2024,6974,10997,7020,5679,5187,10483,4859,7200
Malaysia,Sabah,0,7372091,833296406,113,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,10,6769712,832107145,123,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Sabah,15,6742543,830848059,123,,,,,,,,,,,,,,,,,,,,,,,,,,
