country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,15,14695,1450396,99,,,,
Malaysia,2001,20,14474,1436788,99,,,,
Malaysia,2001,25,14371,1430931,100,,,,
Malaysia,2001,30,14093,1413222,100,217403.0,136085.0,81318.0,41914.0
Malaysia,2001,50,12941,1334522,103,211843.0,124525.0,87318.0,40404.0
Malaysia,2001,75,9796,1060413,108,179599.0,94150.0,85449.0,35484.0
Malaysia,2001,0,167059,21026045,126,,,,
Malaysia,2001,10,160023,21013149,131,,,,
Malaysia,2001,15,159589,20985618,131,,,,
Malaysia,2001,20,159254,20963699,132,,,,
Malaysia,2001,25,159086,20952551,132,,,,
Malaysia,2001,30,158741,20929635,132,1018838.0,586022.0,432815.0,269049.0
Malaysia,2001,50,156953,20789280,132,1010269.0,570161.0,440108.0,266692.0
Malaysia,2001,75,151077,20217230,134,952711.0,522907.0,429804.0,226986.0
Malaysia,2001,0,24783,1060780,43,,,,
Malaysia,2001,10,11180,988677,88,,,,
Malaysia,2001,15,11092,984421,89,,,,
Malaysia,2001,20,11053,982353,89,,,,
Malaysia,2001,25,11008,980134,89,,,,
Malaysia,2001,30,10888,974061,89,24376.0,63896.0,-39520.0,3735.0
Malaysia,2001,50,10522,954332,91,23968.0,60962.0,-36994.0,3635.0
Malaysia,2001,75,8124,825859,102,21608.0,43090.0,-21482.0,3197.0
Malaysia,2001,0,28035,560186,20,,,,
Malaysia,2001,10,9894,529756,54,,,,
Malaysia,2001,15,9374,508050,54,,,,
Malaysia,2001,20,9027,492838,55,,,,
Malaysia,2001,25,8733,480192,55,,,,
Malaysia,2001,30,8200,456325,56,46444.0,79014.0,-32570.0,12043.0
Malaysia,2001,50,6447,373198,58,41623.0,62947.0,-21324.0,11889.0
Malaysia,2001,75,2962,193242,65,22479.0,32417.0,-9938.0,7271.0
Malaysia,2001,0,816728,103319240,127,,,,
Malaysia,2001,10,791597,103271516,130,,,,
Malaysia,2001,15,790488,103211259,131,,,,
Malaysia,2001,20,789686,103165707,131,,,,
Malaysia,2001,25,789187,103136835,131,,,,
Malaysia,2001,30,788273,103083346,131,8279211.0,2636255.0,5642955.0,2175490.0
Malaysia,2001,50,783746,102778407,131,8254753.0,2604096.0,5650657.0,2163945.0
Malaysia,2001,75,759554,100794382,133,8032580.0,2430553.0,5602027.0,2077756.0
Malaysia,2001,0,143012,15834714,111,,,,
Malaysia,2001,10,138673,15828614,114,,,,
Malaysia,2001,15,138402,15813431,114,,,,
Malaysia,2001,20,138227,15803368,114,,,,
Malaysia,2001,25,138122,15797496,114,,,,
Malaysia,2001,30,137842,15780959,114,810328.0,702736.0,107593.0,146310.0
Malaysia,2001,50,136764,15705427,115,806496.0,693366.0,113130.0,145299.0
Malaysia,2001,75,132032,15305577,116,779004.0,654168.0,124836.0,141375.0
Malaysia,2001,0,40332,1193752,30,,,,
Malaysia,2001,10,16762,1160059,69,,,,
Malaysia,2001,15,16135,1130839,70,,,,
Malaysia,2001,20,15738,1111779,71,,,,
Malaysia,2001,25,15463,1098800,71,,,,
Malaysia,2001,30,14790,1065149,72,59707.0,112611.0,-52904.0,24409.0
Malaysia,2001,50,12912,961453,74,57735.0,98548.0,-40813.0,23384.0
Malaysia,2001,75,8552,688601,81,48173.0,66103.0,-17930.0,18855.0
Malaysia,2001,0,227830,24950741,110,,,,
Malaysia,2001,10,216303,24930569,115,,,,
Malaysia,2001,15,215778,24901238,115,,,,
Malaysia,2001,20,215389,24879039,116,,,,
Malaysia,2001,25,215202,24868198,116,,,,
Malaysia,2001,30,214665,24836201,116,2259906.0,1163402.0,1096504.0,927195.0
Malaysia,2001,50,212747,24703197,116,2253195.0,1147724.0,1105471.0,922638.0
Malaysia,2001,75,202132,23808132,118,2194698.0,1066295.0,1128402.0,893122.0
Malaysia,2001,0,52682,5475997,104,,,,
Malaysia,2001,10,45228,5464351,121,,,,
Malaysia,2001,15,44877,5444099,121,,,,
Malaysia,2001,20,44651,5430921,122,,,,
Malaysia,2001,25,44541,5424726,122,,,,
Malaysia,2001,30,44152,5400966,122,320467.0,251988.0,68479.0,153326.0
Malaysia,2001,50,43141,5329484,124,317065.0,242744.0,74322.0,151676.0
Malaysia,2001,75,39777,5042752,127,296630.0,211360.0,85270.0,141608.0
Malaysia,2001,0,59344,3144815,53,,,,
Malaysia,2001,10,38042,3112481,82,,,,
Malaysia,2001,15,37220,3073842,83,,,,
Malaysia,2001,20,36698,3048452,83,,,,
Malaysia,2001,25,36381,3033545,83,,,,
Malaysia,2001,30,35659,2997081,84,363918.0,332609.0,31309.0,221109.0
Malaysia,2001,50,32984,2850465,86,358868.0,309361.0,49507.0,218610.0
Malaysia,2001,75,25416,2343769,92,323316.0,241779.0,81538.0,205430.0
Malaysia,2001,0,40332,1812683,45,,,,
Malaysia,2001,10,20598,1782977,87,,,,
Malaysia,2001,15,20056,1758079,88,,,,
Malaysia,2001,20,19758,1743576,88,,,,
Malaysia,2001,25,19552,1734127,89,,,,
Malaysia,2001,30,19033,1707521,90,121610.0,156118.0,-34508.0,56513.0
Malaysia,2001,50,17684,1633684,92,118924.0,143739.0,-24815.0,55362.0
Malaysia,2001,75,14078,1396317,99,103574.0,112294.0,-8719.0,48653.0
Malaysia,2001,0,85560,8438352,99,,,,
Malaysia,2001,10,76917,8426562,110,,,,
Malaysia,2001,15,76513,8402852,110,,,,
Malaysia,2001,20,76223,8385522,110,,,,
Malaysia,2001,25,76090,8377813,110,,,,
Malaysia,2001,30,75643,8350295,110,841086.0,512238.0,328848.0,513394.0
Malaysia,2001,50,74290,8252303,111,836846.0,500508.0,336337.0,511645.0
Malaysia,2001,75,68963,7780633,113,803775.0,453103.0,350672.0,492556.0
Malaysia,2001,0,19351,382577,20,,,,
Malaysia,2001,10,7080,365766,52,,,,
Malaysia,2001,15,6611,348080,53,,,,
Malaysia,2001,20,6367,338042,53,,,,
Malaysia,2001,25,6180,330621,53,,,,
Malaysia,2001,30,5819,315680,54,5828.0,30448.0,-24621.0,5201.0
Malaysia,2001,50,4702,266275,57,5428.0,23790.0,-18362.0,5152.0
Malaysia,2001,75,2745,168343,61,3925.0,13001.0,-9075.0,3248.0
Malaysia,2001,0,27198,518053,19,,,,
Malaysia,2001,10,6860,507628,74,,,,
Malaysia,2001,15,5685,456774,80,,,,
Malaysia,2001,20,5485,446937,81,,,,
Malaysia,2001,25,5109,428862,84,,,,
Malaysia,2001,30,4827,414389,86,27299.0,32459.0,-5160.0,16136.0
Malaysia,2001,50,3914,357079,91,25217.0,27488.0,-2271.0,14451.0
Malaysia,2001,75,2446,242429,99,17576.0,20220.0,-2644.0,8956.0
Malaysia,2001,0,9066,436021,48,,,,
Malaysia,2001,10,4730,426512,90,,,,
Malaysia,2001,15,4599,419801,91,,,,
Malaysia,2001,20,4527,415628,92,,,,
Malaysia,2001,25,4480,413030,92,,,,
Malaysia,2001,30,4323,403863,93,20672.0,27011.0,-6340.0,10268.0
Malaysia,2001,50,3926,378890,97,19743.0,24960.0,-5217.0,10184.0
Malaysia,2001,75,3014,310672,103,16622.0,20357.0,-3734.0,9845.0
Malaysia,2001,0,67030,4358765,65,,,,
Malaysia,2001,10,49726,4338493,87,,,,
Malaysia,2001,15,48982,4300078,88,,,,
Malaysia,2001,20,48451,4271437,88,,,,
Malaysia,2001,25,48150,4255042,88,,,,
Malaysia,2001,30,47671,4228914,89,588865.0,327330.0,261535.0,464587.0
Malaysia,2001,50,45025,4059289,90,579513.0,306680.0,272833.0,461659.0
Malaysia,2001,75,36667,3394547,93,516851.0,243840.0,273011.0,421042.0
Malaysia,2001,0,69871,4363879,62,,,,
Malaysia,2001,10,56096,4348980,78,,,,
Malaysia,2001,15,55546,4322159,78,,,,
Malaysia,2001,20,55109,4299550,78,,,,
Malaysia,2001,25,54882,4288002,78,,,,
Malaysia,2001,30,54509,4268885,78,452684.0,291361.0,161323.0,247930.0
Malaysia,2001,50,52517,4152342,79,447021.0,277466.0,169555.0,244930.0
Malaysia,2001,75,45467,3665311,81,410842.0,231633.0,179209.0,225748.0
Malaysia,2001,0,28502,852599,30,,,,
Malaysia,2001,10,11518,840000,73,,,,
Malaysia,2001,15,11133,823108,74,,,,
Malaysia,2001,20,10915,813097,74,,,,
Malaysia,2001,25,10762,806215,75,,,,
Malaysia,2001,30,10495,793969,76,98252.0,72869.0,25382.0,98738.0
Malaysia,2001,50,9331,730702,78,95090.0,65199.0,29891.0,97860.0
Malaysia,2001,75,6681,549945,82,79914.0,47581.0,32333.0,93464.0
